game,2010,10,20101114,201011140sfo,ram,"St. Louis Rams",20,sfo,"San Francisco 49ers",23
player,201011140sfo,sfo,ZiegDo00,pass_rating,,,,,,
player,201011140sfo,sfo,ZiegDo00,rush_att,0,,,,,
player,201011140sfo,sfo,ZiegDo00,rush_yds,0,,,,,
player,201011140sfo,sfo,ZiegDo00,rush_td,0,,,,,
player,201011140sfo,sfo,ZiegDo00,rush_long,0,,,,,
player,201011140sfo,sfo,ZiegDo00,targets,1,,,,,
player,201011140sfo,sfo,ZiegDo00,rec,0,,,,,
player,201011140sfo,sfo,ZiegDo00,rec_yds,0,,,,,
player,201011140sfo,sfo,ZiegDo00,rec_td,0,,,,,
player,201011140sfo,sfo,ZiegDo00,rec_long,0,,,,,
player,201011140sfo,sfo,ZiegDo00,fumbles,0,,,,,
player,201011140sfo,sfo,ZiegDo00,fumbles_lost,,,,,,
player,201011140sfo,sfo,DixoAn00,pass_cmp,0,,,,,
player,201011140sfo,sfo,DixoAn00,pass_att,0,,,,,
player,201011140sfo,sfo,DixoAn00,pass_yds,0,,,,,
player,201011140sfo,sfo,DixoAn00,pass_td,0,,,,,
player,201011140sfo,sfo,DixoAn00,pass_int,0,,,,,
player,201011140sfo,sfo,DixoAn00,pass_sacked,,,,,,
player,201011140sfo,sfo,DixoAn00,pass_sacked_yds,,,,,,
player,201011140sfo,sfo,DixoAn00,pass_long,0,,,,,
player,201011140sfo,sfo,DixoAn00,pass_rating,,,,,,
player,201011140sfo,sfo,DixoAn00,rush_att,1,,,,,
player,201011140sfo,sfo,DixoAn00,rush_yds,-1,,,,,
player,201011140sfo,sfo,DixoAn00,rush_td,0,,,,,
player,201011140sfo,sfo,DixoAn00,rush_long,-1,,,,,
player,201011140sfo,sfo,DixoAn00,targets,0,,,,,
player,201011140sfo,sfo,DixoAn00,rec,0,,,,,
player,201011140sfo,sfo,DixoAn00,rec_yds,0,,,,,
player,201011140sfo,sfo,DixoAn00,rec_td,0,,,,,
player,201011140sfo,sfo,DixoAn00,rec_long,0,,,,,
player,201011140sfo,sfo,DixoAn00,fumbles,0,,,,,
player,201011140sfo,sfo,DixoAn00,fumbles_lost,,,,,,
player,201011140sfo,ram,LaurJa99,def_int,0,,,,,
player,201011140sfo,ram,LaurJa99,def_int_yds,0,,,,,
player,201011140sfo,ram,LaurJa99,def_int_td,0,,,,,
player,201011140sfo,ram,LaurJa99,def_int_long,0,,,,,
player,201011140sfo,ram,LaurJa99,pass_defended,0,,,,,
player,201011140sfo,ram,LaurJa99,sacks,1.0,,,,,
player,201011140sfo,ram,LaurJa99,tackles_combined,5,,,,,
player,201011140sfo,ram,LaurJa99,tackles_solo,3,,,,,
player,201011140sfo,ram,LaurJa99,tackles_assists,2,,,,,
player,201011140sfo,ram,LaurJa99,tackles_loss,1,,,,,
player,201011140sfo,ram,LaurJa99,qb_hits,1,,,,,
player,201011140sfo,ram,LaurJa99,fumbles_rec,0,,,,,
player,201011140sfo,ram,LaurJa99,fumbles_rec_yds,0,,,,,
player,201011140sfo,ram,LaurJa99,fumbles_rec_td,0,,,,,
player,201011140sfo,ram,LaurJa99,fumbles_forced,0,,,,,
player,201011140sfo,ram,HallJa21,def_int,0,,,,,
player,201011140sfo,ram,HallJa21,def_int_yds,0,,,,,
player,201011140sfo,ram,HallJa21,def_int_td,0,,,,,
player,201011140sfo,ram,HallJa21,def_int_long,0,,,,,
player,201011140sfo,ram,HallJa21,pass_defended,0,,,,,
player,201011140sfo,ram,HallJa21,sacks,1.0,,,,,
player,201011140sfo,ram,HallJa21,tackles_combined,4,,,,,
player,201011140sfo,ram,HallJa21,tackles_solo,4,,,,,
player,201011140sfo,ram,HallJa21,tackles_assists,0,,,,,
player,201011140sfo,ram,HallJa21,tackles_loss,0,,,,,
player,201011140sfo,ram,HallJa21,qb_hits,0,,,,,
