game,2010,9,20101107,201011070rai,kan,"Kansas City Chiefs",20,rai,"Oakland Raiders",23
player,201011070rai,rai,HiggJo00,rec_long,12,,,,,
player,201011070rai,rai,HiggJo00,fumbles,0,,,,,
player,201011070rai,rai,HiggJo00,fumbles_lost,,,,,,
player,201011070rai,rai,MyerBr00,pass_cmp,0,,,,,
player,201011070rai,rai,MyerBr00,pass_att,0,,,,,
player,201011070rai,rai,MyerBr00,pass_yds,0,,,,,
player,201011070rai,rai,MyerBr00,pass_td,0,,,,,
player,201011070rai,rai,MyerBr00,pass_int,0,,,,,
player,201011070rai,rai,MyerBr00,pass_sacked,,,,,,
player,201011070rai,rai,MyerBr00,pass_sacked_yds,,,,,,
player,201011070rai,rai,MyerBr00,pass_long,0,,,,,
player,201011070rai,rai,MyerBr00,pass_rating,,,,,,
player,201011070rai,rai,MyerBr00,rush_att,0,,,,,
player,201011070rai,rai,MyerBr00,rush_yds,0,,,,,
player,201011070rai,rai,MyerBr00,rush_td,0,,,,,
player,201011070rai,rai,MyerBr00,rush_long,0,,,,,
player,201011070rai,rai,MyerBr00,targets,4,,,,,
player,201011070rai,rai,MyerBr00,rec,3,,,,,
player,201011070rai,rai,MyerBr00,rec_yds,20,,,,,
player,201011070rai,rai,MyerBr00,rec_td,0,,,,,
player,201011070rai,rai,MyerBr00,rec_long,13,,,,,
player,201011070rai,rai,MyerBr00,fumbles,0,,,,,
player,201011070rai,rai,MyerBr00,fumbles_lost,,,,,,
player,201011070rai,rai,BarnKh20,pass_cmp,0,,,,,
player,201011070rai,rai,BarnKh20,pass_att,0,,,,,
player,201011070rai,rai,BarnKh20,pass_yds,0,,,,,
player,201011070rai,rai,BarnKh20,pass_td,0,,,,,
player,201011070rai,rai,BarnKh20,pass_int,0,,,,,
player,201011070rai,rai,BarnKh20,pass_sacked,,,,,,
player,201011070rai,rai,BarnKh20,pass_sacked_yds,,,,,,
player,201011070rai,rai,BarnKh20,pass_long,0,,,,,
player,201011070rai,rai,BarnKh20,pass_rating,,,,,,
player,201011070rai,rai,BarnKh20,rush_att,0,,,,,
player,201011070rai,rai,BarnKh20,rush_yds,0,,,,,
player,201011070rai,rai,BarnKh20,rush_td,0,,,,,
player,201011070rai,rai,BarnKh20,rush_long,0,,,,,
player,201011070rai,rai,BarnKh20,targets,1,,,,,
player,201011070rai,rai,BarnKh20,rec,1,,,,,
player,201011070rai,rai,BarnKh20,rec_yds,2,,,,,
player,201011070rai,rai,BarnKh20,rec_td,1,,,,,
player,201011070rai,rai,BarnKh20,rec_long,2,,,,,
player,201011070rai,rai,BarnKh20,fumbles,0,,,,,
player,201011070rai,rai,BarnKh20,fumbles_lost,,,,,,
player,201011070rai,rai,HeywDa00,pass_cmp,,,,,,
player,201011070rai,rai,HeywDa00,pass_att,,,,,,
player,201011070rai,rai,HeywDa00,pass_yds,,,,,,
player,201011070rai,rai,HeywDa00,pass_td,,,,,,
player,201011070rai,rai,HeywDa00,pass_int,,,,,,
player,201011070rai,rai,HeywDa00,pass_sacked,,,,,,
player,201011070rai,rai,HeywDa00,pass_sacked_yds,,,,,,
player,201011070rai,rai,HeywDa00,pass_long,,,,,,
player,201011070rai,rai,HeywDa00,pass_rating,,,,,,
player,201011070rai,rai,HeywDa00,rush_att,,,,,,
player,201011070rai,rai,HeywDa00,rush_yds,,,,,,
player,201011070rai,rai,HeywDa00,rush_td,,,,,,
player,201011070rai,rai,HeywDa00,rush_long,,,,,,
