game,2010,7,20101024,201010240den,rai,"Oakland Raiders",59,den,"Denver Broncos",14
player,201010240den,den,RoyaEd00,rush_td,0,,,,,
player,201010240den,den,RoyaEd00,rush_long,0,,,,,
player,201010240den,den,RoyaEd00,targets,7,,,,,
player,201010240den,den,RoyaEd00,rec,2,,,,,
player,201010240den,den,RoyaEd00,rec_yds,26,,,,,
player,201010240den,den,RoyaEd00,rec_td,0,,,,,
player,201010240den,den,RoyaEd00,rec_long,23,,,,,
player,201010240den,den,RoyaEd00,fumbles,1,,,,,
player,201010240den,den,RoyaEd00,fumbles_lost,0,,,,,
player,201010240den,den,DeckEr00,pass_cmp,0,,,,,
player,201010240den,den,DeckEr00,pass_att,0,,,,,
player,201010240den,den,DeckEr00,pass_yds,0,,,,,
player,201010240den,den,DeckEr00,pass_td,0,,,,,
player,201010240den,den,DeckEr00,pass_int,0,,,,,
player,201010240den,den,DeckEr00,pass_sacked,,,,,,
player,201010240den,den,DeckEr00,pass_sacked_yds,,,,,,
player,201010240den,den,DeckEr00,pass_long,0,,,,,
player,201010240den,den,DeckEr00,pass_rating,,,,,,
player,201010240den,den,DeckEr00,rush_att,0,,,,,
player,201010240den,den,DeckEr00,rush_yds,0,,,,,
player,201010240den,den,DeckEr00,rush_td,0,,,,,
player,201010240den,den,DeckEr00,rush_long,0,,,,,
player,201010240den,den,DeckEr00,targets,1,,,,,
player,201010240den,den,DeckEr00,rec,0,,,,,
player,201010240den,den,DeckEr00,rec_yds,0,,,,,
player,201010240den,den,DeckEr00,rec_td,0,,,,,
player,201010240den,den,DeckEr00,rec_long,0,,,,,
player,201010240den,den,DeckEr00,fumbles,0,,,,,
player,201010240den,den,DeckEr00,fumbles_lost,0,,,,,
player,201010240den,den,GronDa00,pass_cmp,,,,,,
player,201010240den,den,GronDa00,pass_att,,,,,,
player,201010240den,den,GronDa00,pass_yds,,,,,,
player,201010240den,den,GronDa00,pass_td,,,,,,
player,201010240den,den,GronDa00,pass_int,,,,,,
player,201010240den,den,GronDa00,pass_sacked,,,,,,
player,201010240den,den,GronDa00,pass_sacked_yds,,,,,,
player,201010240den,den,GronDa00,pass_long,,,,,,
player,201010240den,den,GronDa00,pass_rating,,,,,,
player,201010240den,den,GronDa00,rush_att,,,,,,
player,201010240den,den,GronDa00,rush_yds,,,,,,
player,201010240den,den,GronDa00,rush_td,,,,,,
player,201010240den,den,GronDa00,rush_long,,,,,,
player,201010240den,den,GronDa00,targets,1,,,,,
player,201010240den,den,GronDa00,rec,0,,,,,
player,201010240den,den,GronDa00,rec_yds,0,,,,,
player,201010240den,den,GronDa00,rec_td,0,,,,,
player,201010240den,den,GronDa00,rec_long,,,,,,
player,201010240den,den,GronDa00,fumbles,,,,,,
player,201010240den,den,GronDa00,fumbles_lost,,,,,,
player,201010240den,rai,JohnCh26,def_int,1,,,,,
player,201010240den,rai,JohnCh26,def_int_yds,30,,,,,
player,201010240den,rai,JohnCh26,def_int_td,1,,,,,
player,201010240den,rai,JohnCh26,def_int_long,30,,,,,
player,201010240den,rai,JohnCh26,pass_defended,2,,,,,
player,201010240den,rai,JohnCh26,sacks,0.0,,,,,
player,201010240den,rai,JohnCh26,tackles_combined,2,,,,,
player,201010240den,rai,JohnCh26,tackles_solo,2,,,,,
player,201010240den,rai,JohnCh26,tackles_assists,0,,,,,
player,201010240den,rai,JohnCh26,tackles_loss,0,,,,,
player,201010240den,rai,JohnCh26,qb_hits,0,,,,,
player,201010240den,rai,JohnCh26,fumbles_rec,0,,,,,
player,201010240den,rai,JohnCh26,fumbles_rec_yds,0,,,,,
player,201010240den,rai,JohnCh26,fumbles_rec_td,0,,,,,
player,201010240den,rai,JohnCh26,fumbles_forced,0,,,,,
player,201010240den,rai,SeymRi00,def_int,0,,,,,
player,201010240den,rai,SeymRi00,def_int_yds,0,,,,,
player,201010240den,rai,SeymRi00,def_int_td,0,,,,,
player,201010240den,rai,SeymRi00,def_int_long,0,,,,,
player,201010240den,rai,SeymRi00,pass_defended,0,,,,,
player,201010240den,rai,SeymRi00,sacks,1.0,,,,,
player,201010240den,rai,SeymRi00,tackles_combined,4,,,,,
player,201010240den,rai,SeymRi00,tackles_solo,3,,,,,
player,201010240den,rai,SeymRi00,tackles_assists,1,,,,,
player,201010240den,rai,SeymRi00,tackles_loss,1,,,,,
player,201010240den,rai,SeymRi00,qb_hits,1,,,,,
player,201010240den,rai,SeymRi00,fumbles_rec,0,,,,,
player,201010240den,rai,SeymRi00,fumbles_rec_yds,0,,,,,
player,201010240den,rai,SeymRi00,fumbles_rec_td,0,,,,,
player,201010240den,rai,SeymRi00,fumbles_forced,0,,,,,
player,201010240den,rai,KellTo21,def_int,0,,,,,
player,201010240den,rai,KellTo21,def_int_yds,0,,,,,
player,201010240den,rai,KellTo21,def_int_td,0,,,,,
player,201010240den,rai,KellTo21,def_int_long,0,,,,,
player,201010240den,rai,KellTo21,pass_defended,0,,,,,
player,201010240den,rai,KellTo21,sacks,1.0,,,,,
player,201010240den,rai,KellTo21,tackles_combined,2,,,,,
player,201010240den,rai,KellTo21,tackles_solo,2,,,,,
player,201010240den,rai,KellTo21,tackles_assists,0,,,,,
player,201010240den,rai,KellTo21,tackles_loss,1,,,,,
