game,2010,16,20101226,201012260gnb,nyg,"New York Giants",17,gnb,"Green Bay Packers",45
player,201012260gnb,gnb,JoneJa04,fumbles,0,,,,,
player,201012260gnb,gnb,JoneJa04,fumbles_lost,,,,,,
player,201012260gnb,gnb,CrabTo00,pass_cmp,0,,,,,
player,201012260gnb,gnb,CrabTo00,pass_att,0,,,,,
player,201012260gnb,gnb,CrabTo00,pass_yds,0,,,,,
player,201012260gnb,gnb,CrabTo00,pass_td,0,,,,,
player,201012260gnb,gnb,CrabTo00,pass_int,0,,,,,
player,201012260gnb,gnb,CrabTo00,pass_sacked,,,,,,
player,201012260gnb,gnb,CrabTo00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,CrabTo00,pass_long,0,,,,,
player,201012260gnb,gnb,CrabTo00,pass_rating,,,,,,
player,201012260gnb,gnb,CrabTo00,rush_att,0,,,,,
player,201012260gnb,gnb,CrabTo00,rush_yds,0,,,,,
player,201012260gnb,gnb,CrabTo00,rush_td,0,,,,,
player,201012260gnb,gnb,CrabTo00,rush_long,0,,,,,
player,201012260gnb,gnb,CrabTo00,targets,1,,,,,
player,201012260gnb,gnb,CrabTo00,rec,1,,,,,
player,201012260gnb,gnb,CrabTo00,rec_yds,21,,,,,
player,201012260gnb,gnb,CrabTo00,rec_td,0,,,,,
player,201012260gnb,gnb,CrabTo00,rec_long,21,,,,,
player,201012260gnb,gnb,CrabTo00,fumbles,0,,,,,
player,201012260gnb,gnb,CrabTo00,fumbles_lost,,,,,,
player,201012260gnb,gnb,QuarAn00,pass_cmp,0,,,,,
player,201012260gnb,gnb,QuarAn00,pass_att,0,,,,,
player,201012260gnb,gnb,QuarAn00,pass_yds,0,,,,,
player,201012260gnb,gnb,QuarAn00,pass_td,0,,,,,
player,201012260gnb,gnb,QuarAn00,pass_int,0,,,,,
player,201012260gnb,gnb,QuarAn00,pass_sacked,,,,,,
player,201012260gnb,gnb,QuarAn00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,QuarAn00,pass_long,0,,,,,
player,201012260gnb,gnb,QuarAn00,pass_rating,,,,,,
player,201012260gnb,gnb,QuarAn00,rush_att,0,,,,,
player,201012260gnb,gnb,QuarAn00,rush_yds,0,,,,,
player,201012260gnb,gnb,QuarAn00,rush_td,0,,,,,
player,201012260gnb,gnb,QuarAn00,rush_long,0,,,,,
player,201012260gnb,gnb,QuarAn00,targets,1,,,,,
player,201012260gnb,gnb,QuarAn00,rec,1,,,,,
player,201012260gnb,gnb,QuarAn00,rec_yds,16,,,,,
player,201012260gnb,gnb,QuarAn00,rec_td,0,,,,,
player,201012260gnb,gnb,QuarAn00,rec_long,16,,,,,
player,201012260gnb,gnb,QuarAn00,fumbles,0,,,,,
player,201012260gnb,gnb,QuarAn00,fumbles_lost,,,,,,
player,201012260gnb,gnb,LeexDo00,pass_cmp,0,,,,,
player,201012260gnb,gnb,LeexDo00,pass_att,0,,,,,
player,201012260gnb,gnb,LeexDo00,pass_yds,0,,,,,
player,201012260gnb,gnb,LeexDo00,pass_td,0,,,,,
player,201012260gnb,gnb,LeexDo00,pass_int,0,,,,,
player,201012260gnb,gnb,LeexDo00,pass_sacked,,,,,,
player,201012260gnb,gnb,LeexDo00,pass_sacked_yds,,,,,,
player,201012260gnb,gnb,LeexDo00,pass_long,0,,,,,
player,201012260gnb,gnb,LeexDo00,pass_rating,,,,,,
player,201012260gnb,gnb,LeexDo00,rush_att,0,,,,,
player,201012260gnb,gnb,LeexDo00,rush_yds,0,,,,,
player,201012260gnb,gnb,LeexDo00,rush_td,0,,,,,
player,201012260gnb,gnb,LeexDo00,rush_long,0,,,,,
player,201012260gnb,gnb,LeexDo00,targets,2,,,,,
player,201012260gnb,gnb,LeexDo00,rec,2,,,,,
player,201012260gnb,gnb,LeexDo00,rec_yds,4,,,,,
player,201012260gnb,gnb,LeexDo00,rec_td,1,,,,,
player,201012260gnb,gnb,LeexDo00,rec_long,3,,,,,
player,201012260gnb,gnb,LeexDo00,fumbles,0,,,,,
player,201012260gnb,gnb,LeexDo00,fumbles_lost,,,,,,
player,201012260gnb,nyg,TuckJu20,def_int,0,,,,,
player,201012260gnb,nyg,TuckJu20,def_int_yds,0,,,,,
player,201012260gnb,nyg,TuckJu20,def_int_td,0,,,,,
player,201012260gnb,nyg,TuckJu20,def_int_long,0,,,,,
player,201012260gnb,nyg,TuckJu20,pass_defended,0,,,,,
player,201012260gnb,nyg,TuckJu20,sacks,1.0,,,,,
player,201012260gnb,nyg,TuckJu20,tackles_combined,7,,,,,
player,201012260gnb,nyg,TuckJu20,tackles_solo,4,,,,,
player,201012260gnb,nyg,TuckJu20,tackles_assists,3,,,,,
player,201012260gnb,nyg,TuckJu20,tackles_loss,2,,,,,
player,201012260gnb,nyg,TuckJu20,qb_hits,2,,,,,
player,201012260gnb,nyg,TuckJu20,fumbles_rec,1,,,,,
player,201012260gnb,nyg,TuckJu20,fumbles_rec_yds,0,,,,,
player,201012260gnb,nyg,TuckJu20,fumbles_rec_td,0,,,,,
player,201012260gnb,nyg,TuckJu20,fumbles_forced,0,,,,,
player,201012260gnb,nyg,PhilKe99,def_int,0,,,,,
player,201012260gnb,nyg,PhilKe99,def_int_yds,0,,,,,
player,201012260gnb,nyg,PhilKe99,def_int_td,0,,,,,
player,201012260gnb,nyg,PhilKe99,def_int_long,0,,,,,
player,201012260gnb,nyg,PhilKe99,pass_defended,0,,,,,
player,201012260gnb,nyg,PhilKe99,sacks,0.0,,,,,
player,201012260gnb,nyg,PhilKe99,tackles_combined,10,,,,,
player,201012260gnb,nyg,PhilKe99,tackles_solo,6,,,,,
