game,2010,8,20101101,201011010clt,htx,"Houston Texans",17,clt,"Indianapolis Colts",30
player,201011010clt,clt,GonzAn00,targets,6,,,,,
player,201011010clt,clt,GonzAn00,rec,4,,,,,
player,201011010clt,clt,GonzAn00,rec_yds,55,,,,,
player,201011010clt,clt,GonzAn00,rec_td,0,,,,,
player,201011010clt,clt,GonzAn00,rec_long,34,,,,,
player,201011010clt,clt,GonzAn00,fumbles,0,,,,,
player,201011010clt,clt,GonzAn00,fumbles_lost,,,,,,
player,201011010clt,clt,WaynRe00,pass_cmp,0,,,,,
player,201011010clt,clt,WaynRe00,pass_att,0,,,,,
player,201011010clt,clt,WaynRe00,pass_yds,0,,,,,
player,201011010clt,clt,WaynRe00,pass_td,0,,,,,
player,201011010clt,clt,WaynRe00,pass_int,0,,,,,
player,201011010clt,clt,WaynRe00,pass_sacked,,,,,,
player,201011010clt,clt,WaynRe00,pass_sacked_yds,,,,,,
player,201011010clt,clt,WaynRe00,pass_long,0,,,,,
player,201011010clt,clt,WaynRe00,pass_rating,,,,,,
player,201011010clt,clt,WaynRe00,rush_att,0,,,,,
player,201011010clt,clt,WaynRe00,rush_yds,0,,,,,
player,201011010clt,clt,WaynRe00,rush_td,0,,,,,
player,201011010clt,clt,WaynRe00,rush_long,0,,,,,
player,201011010clt,clt,WaynRe00,targets,12,,,,,
player,201011010clt,clt,WaynRe00,rec,4,,,,,
player,201011010clt,clt,WaynRe00,rec_yds,39,,,,,
player,201011010clt,clt,WaynRe00,rec_td,1,,,,,
player,201011010clt,clt,WaynRe00,rec_long,15,,,,,
player,201011010clt,clt,WaynRe00,fumbles,0,,,,,
player,201011010clt,clt,WaynRe00,fumbles_lost,,,,,,
player,201011010clt,clt,RobiGi21,pass_cmp,,,,,,
player,201011010clt,clt,RobiGi21,pass_att,,,,,,
player,201011010clt,clt,RobiGi21,pass_yds,,,,,,
player,201011010clt,clt,RobiGi21,pass_td,,,,,,
player,201011010clt,clt,RobiGi21,pass_int,,,,,,
player,201011010clt,clt,RobiGi21,pass_sacked,,,,,,
player,201011010clt,clt,RobiGi21,pass_sacked_yds,,,,,,
player,201011010clt,clt,RobiGi21,pass_long,,,,,,
player,201011010clt,clt,RobiGi21,pass_rating,,,,,,
player,201011010clt,clt,RobiGi21,rush_att,,,,,,
player,201011010clt,clt,RobiGi21,rush_yds,,,,,,
player,201011010clt,clt,RobiGi21,rush_td,,,,,,
player,201011010clt,clt,RobiGi21,rush_long,,,,,,
