game,2010,17,20110102,201101020den,sdg,"San Diego Chargers",33,den,"Denver Broncos",28
player,201101020den,den,RoyaEd00,pass_yds,,,,,,
player,201101020den,den,RoyaEd00,pass_td,,,,,,
player,201101020den,den,RoyaEd00,pass_int,,,,,,
player,201101020den,den,RoyaEd00,pass_sacked,,,,,,
player,201101020den,den,RoyaEd00,pass_sacked_yds,,,,,,
player,201101020den,den,RoyaEd00,pass_long,,,,,,
player,201101020den,den,RoyaEd00,pass_rating,,,,,,
player,201101020den,den,RoyaEd00,rush_att,,,,,,
player,201101020den,den,RoyaEd00,rush_yds,,,,,,
player,201101020den,den,RoyaEd00,rush_td,,,,,,
player,201101020den,den,RoyaEd00,rush_long,,,,,,
player,201101020den,den,RoyaEd00,targets,1,,,,,
player,201101020den,den,RoyaEd00,rec,0,,,,,
player,201101020den,den,RoyaEd00,rec_yds,0,,,,,
player,201101020den,den,RoyaEd00,rec_td,0,,,,,
player,201101020den,den,RoyaEd00,rec_long,,,,,,
player,201101020den,den,RoyaEd00,fumbles,,,,,,
player,201101020den,den,RoyaEd00,fumbles_lost,,,,,,
player,201101020den,den,CoatDa00,pass_cmp,,,,,,
player,201101020den,den,CoatDa00,pass_att,,,,,,
player,201101020den,den,CoatDa00,pass_yds,,,,,,
player,201101020den,den,CoatDa00,pass_td,,,,,,
player,201101020den,den,CoatDa00,pass_int,,,,,,
player,201101020den,den,CoatDa00,pass_sacked,,,,,,
