game,2010,1,20100912,201009120pit,atl,"Atlanta Falcons",9,pit,"Pittsburgh Steelers",15
player,201009120pit,atl,AbraJo00,def_int_long,0,,,,,
player,201009120pit,atl,AbraJo00,pass_defended,1,,,,,
player,201009120pit,atl,AbraJo00,sacks,1.0,,,,,
player,201009120pit,atl,AbraJo00,tackles_combined,2,,,,,
player,201009120pit,atl,AbraJo00,tackles_solo,1,,,,,
player,201009120pit,atl,AbraJo00,tackles_assists,1,,,,,
player,201009120pit,atl,AbraJo00,tackles_loss,1,,,,,
player,201009120pit,atl,AbraJo00,qb_hits,1,,,,,
player,201009120pit,atl,AbraJo00,fumbles_rec,0,,,,,
player,201009120pit,atl,AbraJo00,fumbles_rec_yds,0,,,,,
player,201009120pit,atl,AbraJo00,fumbles_rec_td,0,,,,,
player,201009120pit,atl,AbraJo00,fumbles_forced,0,,,,,
player,201009120pit,atl,BierKr99,def_int,0,,,,,
player,201009120pit,atl,BierKr99,def_int_yds,0,,,,,
player,201009120pit,atl,BierKr99,def_int_td,0,,,,,
player,201009120pit,atl,BierKr99,def_int_long,0,,,,,
player,201009120pit,atl,BierKr99,pass_defended,0,,,,,
player,201009120pit,atl,BierKr99,sacks,1.0,,,,,
player,201009120pit,atl,BierKr99,tackles_combined,2,,,,,
player,201009120pit,atl,BierKr99,tackles_solo,2,,,,,
player,201009120pit,atl,BierKr99,tackles_assists,0,,,,,
player,201009120pit,atl,BierKr99,tackles_loss,1,,,,,
player,201009120pit,atl,BierKr99,qb_hits,2,,,,,
player,201009120pit,atl,BierKr99,fumbles_rec,0,,,,,
player,201009120pit,atl,BierKr99,fumbles_rec_yds,0,,,,,
player,201009120pit,atl,BierKr99,fumbles_rec_td,0,,,,,
player,201009120pit,atl,BierKr99,fumbles_forced,0,,,,,
player,201009120pit,atl,ColeEr21,def_int,0,,,,,
player,201009120pit,atl,ColeEr21,def_int_yds,0,,,,,
player,201009120pit,atl,ColeEr21,def_int_td,0,,,,,
player,201009120pit,atl,ColeEr21,def_int_long,0,,,,,
player,201009120pit,atl,ColeEr21,pass_defended,0,,,,,
player,201009120pit,atl,ColeEr21,sacks,0.0,,,,,
player,201009120pit,atl,ColeEr21,tackles_combined,9,,,,,
