game,2010,11,20101121,201011210jax,cle,"Cleveland Browns",20,jax,"Jacksonville Jaguars",24
player,201011210jax,jax,ThomMi01,rush_long,0,,,,,
player,201011210jax,jax,ThomMi01,targets,10,,,,,
player,201011210jax,jax,ThomMi01,rec,5,,,,,
player,201011210jax,jax,ThomMi01,rec_yds,36,,,,,
player,201011210jax,jax,ThomMi01,rec_td,1,,,,,
player,201011210jax,jax,ThomMi01,rec_long,15,,,,,
player,201011210jax,jax,ThomMi01,fumbles,0,,,,,
player,201011210jax,jax,ThomMi01,fumbles_lost,,,,,,
player,201011210jax,jax,MillZa02,pass_cmp,0,,,,,
player,201011210jax,jax,MillZa02,pass_att,0,,,,,
player,201011210jax,jax,MillZa02,pass_yds,0,,,,,
player,201011210jax,jax,MillZa02,pass_td,0,,,,,
player,201011210jax,jax,MillZa02,pass_int,0,,,,,
player,201011210jax,jax,MillZa02,pass_sacked,,,,,,
player,201011210jax,jax,MillZa02,pass_sacked_yds,,,,,,
player,201011210jax,jax,MillZa02,pass_long,0,,,,,
player,201011210jax,jax,MillZa02,pass_rating,,,,,,
player,201011210jax,jax,MillZa02,rush_att,0,,,,,
player,201011210jax,jax,MillZa02,rush_yds,0,,,,,
player,201011210jax,jax,MillZa02,rush_td,0,,,,,
player,201011210jax,jax,MillZa02,rush_long,0,,,,,
player,201011210jax,jax,MillZa02,targets,4,,,,,
player,201011210jax,jax,MillZa02,rec,3,,,,,
player,201011210jax,jax,MillZa02,rec_yds,27,,,,,
player,201011210jax,jax,MillZa02,rec_td,0,,,,,
player,201011210jax,jax,MillZa02,rec_long,13,,,,,
player,201011210jax,jax,MillZa02,fumbles,0,,,,,
player,201011210jax,jax,MillZa02,fumbles_lost,,,,,,
player,201011210jax,jax,OsgoKa00,pass_cmp,0,,,,,
player,201011210jax,jax,OsgoKa00,pass_att,0,,,,,
player,201011210jax,jax,OsgoKa00,pass_yds,0,,,,,
player,201011210jax,jax,OsgoKa00,pass_td,0,,,,,
player,201011210jax,jax,OsgoKa00,pass_int,0,,,,,
player,201011210jax,jax,OsgoKa00,pass_sacked,,,,,,
player,201011210jax,jax,OsgoKa00,pass_sacked_yds,,,,,,
player,201011210jax,jax,OsgoKa00,pass_long,0,,,,,
player,201011210jax,jax,OsgoKa00,pass_rating,,,,,,
